 Subject: Households 
 Topic : Households 
" Title  : M810371 - Resident Households By Household Size, Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 Variables , 1980 , 1983 , 1984 , 1985 , 1986 , 1987 , 1988 , 1989 , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 ,
 Resident Households (Number) ," 472,700 "," 498,900 "," 521,900 "," 551,500 "," 577,800 "," 593,700 "," 621,900 "," 648,100 "," 661,700 "," 688,100 "," 708,500 "," 724,600 "," 751,900 "," 768,400 "," 804,700 "," 824,700 "," 848,000 "," 889,100 "," 915,100 "," 934,400 "," 964,600 "," 989,000 "," 1,003,800 "," 1,024,500 "," 1,054,100 "," 1,074,800 "," 1,093,100 "," 1,119,600 "," 1,145,900 "," 1,146,200 "," 1,152,000 "," 1,174,500 "," 1,200,000 "," 1,225,300 "," 1,263,600 "," 1,289,900 "," 1,325,300 ",
     1-Person Households (Number) ," 27,100 "," 19,300 "," 17,600 "," 16,500 "," 19,400 "," 17,700 "," 20,400 "," 23,200 "," 34,600 "," 29,600 "," 32,400 "," 33,800 "," 35,900 "," 38,100 "," 44,900 "," 51,700 "," 54,900 "," 67,000 "," 75,400 "," 73,200 "," 82,700 "," 94,800 "," 96,300 "," 103,300 "," 112,500 "," 116,400 "," 109,700 "," 115,700 "," 139,900 "," 114,000 "," 109,500 "," 124,400 "," 134,800 "," 146,000 "," 156,200 "," 167,900 "," 185,400 ",
     2-Person Households (Number) ," 45,400 "," 45,700 "," 50,300 "," 57,500 "," 66,600 "," 69,100 "," 73,400 "," 78,800 "," 80,500 "," 87,300 "," 92,400 "," 91,900 "," 102,500 "," 106,800 "," 118,000 "," 131,000 "," 134,600 "," 153,000 "," 157,200 "," 173,700 "," 181,400 "," 190,500 "," 193,000 "," 191,200 "," 207,600 "," 204,600 "," 214,300 "," 219,400 "," 215,000 "," 227,900 "," 230,900 "," 234,100 "," 252,200 "," 259,200 "," 276,100 "," 289,200 "," 306,300 ",
     3-Person Households (Number) ," 66,800 "," 71,300 "," 76,400 "," 85,700 "," 95,100 "," 99,100 "," 109,400 "," 113,600 "," 108,100 "," 120,100 "," 124,400 "," 127,400 "," 136,000 "," 140,400 "," 150,900 "," 161,000 "," 169,100 "," 182,600 "," 175,100 "," 188,300 "," 205,700 "," 201,300 "," 206,800 "," 206,000 "," 217,500 "," 223,300 "," 227,200 "," 234,300 "," 231,400 "," 237,100 "," 238,300 "," 243,700 "," 251,500 "," 256,200 "," 266,200 "," 277,000 "," 276,900 ",
     4-Person Households (Number) ," 92,300 "," 110,900 "," 119,700 "," 136,700 "," 148,400 "," 155,700 "," 169,800 "," 181,100 "," 165,500 "," 191,500 "," 196,700 "," 206,100 "," 211,700 "," 220,900 "," 232,500 "," 231,800 "," 240,700 "," 244,600 "," 233,400 "," 242,200 "," 242,200 "," 249,600 "," 250,300 "," 247,300 "," 258,000 "," 262,900 "," 268,200 "," 271,300 "," 263,900 "," 279,600 "," 281,100 "," 290,900 "," 280,100 "," 282,200 "," 286,200 "," 278,100 "," 284,500 ",
     5-Person Households (Number) ," 81,300 "," 96,800 "," 106,900 "," 116,000 "," 118,400 "," 125,000 "," 132,000 "," 141,900 "," 136,100 "," 146,600 "," 150,300 "," 154,400 "," 159,100 "," 153,600 "," 163,400 "," 157,700 "," 156,100 "," 152,600 "," 163,700 "," 163,200 "," 162,700 "," 155,500 "," 160,200 "," 163,100 "," 160,300 "," 166,100 "," 163,700 "," 164,500 "," 168,000 "," 169,700 "," 170,500 "," 165,500 "," 162,900 "," 164,000 "," 161,200 "," 161,400 "," 160,700 ",
     6-Person Households Or Larger (Number) ," 159,900 "," 154,900 "," 151,100 "," 139,200 "," 129,900 "," 127,000 "," 116,900 "," 109,600 "," 137,000 "," 113,000 "," 112,400 "," 111,000 "," 106,700 "," 108,500 "," 95,000 "," 91,400 "," 92,600 "," 89,500 "," 110,200 "," 93,800 "," 89,900 "," 97,100 "," 97,200 "," 113,600 "," 98,200 "," 101,400 "," 110,200 "," 114,400 "," 127,800 "," 117,900 "," 121,800 "," 116,000 "," 118,400 "," 117,600 "," 117,600 "," 116,300 "," 111,600 ",
 Average Household Size Among Resident Households (Persons) , 4.87 , 4.79 , 4.7 , 4.52 , 4.37 , 4.34 , 4.22 , 4.15 , 4.25 , 4.09 , 4.06 , 4.05 , 3.98 , 3.96 , 3.86 , 3.77 , 3.75 , 3.64 , 3.7 , 3.61 , 3.55 , 3.52 , 3.52 , 3.56 , 3.46 , 3.48 , 3.5 , 3.49 , 3.5 , 3.51 , 3.53 , 3.47 , 3.43 , 3.39 , 3.35 , 3.3 , 3.24 ,
     Total HDB Dwellings (Persons) , 4.82 , 4.73 , 4.66 , 4.48 , 4.34 , 4.32 , 4.23 , 4.15 , 4.24 , 4.09 , 4.04 , 4.03 , 3.96 , 3.94 , 3.83 , 3.75 , 3.72 , 3.61 , 3.66 , 3.57 , 3.51 , 3.47 , 3.46 , 3.51 , 3.43 , 3.44 , 3.45 , 3.45 , 3.45 , 3.46 , 3.48 , 3.42 , 3.37 , 3.34 , 3.3 , 3.25 , 3.18 ,
