|country|points|price
0|New Zealand|85|20.0
1|US|90|80.0
2|France|93|
3|Chile|87|10.0
4|US|95|45.0
5|US|86|22.0
6|US|83|40.0
7|Italy|88|55.0
8|US|85|20.0
9|Spain|88|15.0
10|Italy|87|20.0
11|France|89|19.0
12|Argentina|83|20.0
13|US|84|13.0
14|Spain|86|14.0
15|France|86|18.0
16|France|90|57.0
17|US|85|30.0
18|Italy|88|38.0
19|Spain|88|19.0
20|US|88|50.0
21|Spain|83|10.0
22|Austria|86|25.0
23|US|90|15.0
24|Italy|89|22.0
25|US|91|25.0
26|Germany|92|26.0
27|US|88|20.0
28|Austria|85|13.0
29|US|87|35.0
30|Italy|91|
31|US|92|42.0
32|Chile|83|22.0
33|US|87|28.0
34|US|89|25.0
35|Italy|87|12.0
36|Spain|87|49.0
37|US|90|65.0
38|US|85|32.0
39|Spain|84|16.0
40|US|86|45.0
41|France|92|
42|Australia|91|22.0
43|US|91|38.0
44|US|90|50.0
45|Italy|84|10.0
46|Spain|82|12.0
47|France|87|15.0
48|France|90|
49|France|90|28.0
50|US|92|34.0
51|Spain|88|38.0
52|US|89|48.0
53|US|91|45.0
54|US|89|22.0
55|US|85|35.0
56|US|87|24.0
57|US|85|45.0
58|US|88|32.0
59|Australia|88|16.0
60|Hungary|86|15.0
61|Austria|94|
62|US|92|80.0
63|Italy|87|
64|Chile|89|55.0
65|Spain|82|9.0
66|Argentina|87|11.0
67|US|88|49.0
68|Italy|87|15.0
69|US|87|24.0
70|US|86|15.0
71|US|85|15.0
72|US|84|15.0
73|France|90|
74|France|85|19.0
75|US|87|25.0
76|US|88|16.0
77|US|92|47.0
78|France|87|14.0
79|Germany|86|16.0
80|France|89|115.0
81|Chile|90|50.0
82|US|93|50.0
83|France|90|22.0
84|Italy|88|30.0
85|US|93|50.0
86|US|91|39.0
87|Chile|86|14.0
88|Australia|84|7.0
89|Spain|82|10.0
90|US|83|10.0
91|Italy|89|26.0
92|US|88|38.0
93|US|86|9.0
94|Germany|89|29.0
95|Italy|87|20.0
96|France|89|20.0
97|US|90|22.0
98|New Zealand|88|18.0
99|Portugal|87|8.0
100|Argentina|87|8.0
101|Australia|89|19.0
102|France|95|116.0
103|US|92|38.0
104|France|88|
105|Austria|90|26.0
106|New Zealand|85|16.0
107|Argentina|82|9.0
108|US|93|50.0
109|US|90|14.0
110|US|92|30.0
111|Italy|87|14.0
112|France|84|15.0
113|Chile|81|12.0
114|France|92|74.0
115|Germany|87|26.0
116|Italy|87|28.0
117|France|87|13.0
118|Italy|90|23.0
119|US|84|20.0
120|Portugal|92|95.0
121|Italy|86|
122|Germany|86|18.0
123|France|90|45.0
124|US|86|16.0
125|Italy|95|55.0
126|France|84|
127|US|86|40.0
128|US|91|60.0
129|Portugal|88|15.0
130|France|84|8.0
131|France|97|
132|Italy|87|
133|US|86|24.0
134|US|91|40.0
135|Italy|88|39.0
136|Argentina|85|12.0
137|US|90|30.0
138|Austria|92|15.0
139|France|91|
140|US|87|25.0
141|US|87|14.0
142|France|92|149.0
143|Austria|91|35.0
144|France|94|48.0
145|France|87|13.0
146|Italy|87|
147|Italy|87|
148|US|81|6.0
149|Spain|84|17.0
150|US|87|50.0
151|US|85|11.0
152|Italy|86|15.0
153|France|92|35.0
154|US|91|40.0
155|France|89|
156|France|91|40.0
157|US|85|25.0
158|Chile|87|15.0
159|US|95|175.0
160|Argentina|84|13.0
161|US|85|35.0
162|Spain|87|14.0
163|US|88|25.0
164|Greece|86|14.0
165|Italy|91|30.0
166|Italy|88|20.0
167|France|85|12.0
168|France|92|70.0
169|France|93|
170|Israel|88|24.0
171|US|92|49.0
172|Portugal|87|
173|US|85|18.0
174|US|90|135.0
175|Argentina|85|12.0
176|Austria|91|36.0
177|Chile|84|7.0
178|Italy|89|50.0
179|France|82|10.0
180|France|89|20.0
181|Portugal|84|8.0
182|US|92|18.0
183|US|87|36.0
184|France|89|23.0
185|Italy|92|48.0
186|France|85|15.0
187|Italy|90|23.0
188|US|91|42.0
189|France|84|11.0
190|Argentina|88|14.0
191|US|86|28.0
192|Spain|91|50.0
193|Italy|86|
194|US|89|50.0
195|France|91|
196|US|87|27.0
197|France|86|19.0
198|Italy|85|14.0
199|Italy|87|18.0
200|Italy|86|17.0
201|US|90|65.0
202|South Africa|86|15.0
203|US|88|50.0
204|Argentina|84|16.0
205|France|86|
206|Spain|84|11.0
207|US|88|48.0
208|US|91|49.0
209|US|90|35.0
210|Spain|90|35.0
211|US|87|59.0
212|Austria|84|22.0
213|Austria|84|17.0
214|US|91|42.0
215|France|93|85.0
216|Spain|87|18.0
217|Italy|88|
218|US|81|13.0
219|Italy|90|25.0
220|US|85|40.0
221|Spain|92|41.0
222|Portugal|85|9.0
