,Pokemon_ID,Name,Type,HP,Attack,Defense,Speed,Legendary,Normalised_Speed
0,1,Bulbasaur,Grass,45,49,49,45,False,0.22857142857142856
1,2,Ivysaur,Grass,60,62,63,60,False,0.3142857142857143
2,3,Venusaur,Grass,80,82,83,80,False,0.42857142857142855
3,3,VenusaurMega Venusaur,Grass,80,100,123,80,False,0.42857142857142855
4,4,Charmander,Fire,39,52,43,65,False,0.34285714285714286
5,5,Charmeleon,Fire,58,64,58,80,False,0.42857142857142855
6,6,Charizard,Fire,78,84,78,100,False,0.5428571428571428
7,6,CharizardMega Charizard X,Fire,78,130,111,100,False,0.5428571428571428
8,6,CharizardMega Charizard Y,Fire,78,104,78,100,False,0.5428571428571428
9,7,Squirtle,Water,44,48,65,43,False,0.21714285714285714
10,8,Wartortle,Water,59,63,80,58,False,0.3028571428571429
11,9,Blastoise,Water,79,83,100,78,False,0.41714285714285715
12,9,BlastoiseMega Blastoise,Water,79,103,120,78,False,0.41714285714285715
13,10,Caterpie,Bug,45,30,35,45,False,0.22857142857142856
14,11,Metapod,Bug,50,20,55,30,False,0.14285714285714285
15,12,Butterfree,Bug,60,45,50,70,False,0.37142857142857144
16,13,Weedle,Bug,40,35,30,50,False,0.2571428571428571
17,14,Kakuna,Bug,45,25,50,35,False,0.17142857142857143
18,15,Beedrill,Bug,65,90,40,75,False,0.4
19,15,BeedrillMega Beedrill,Bug,65,150,40,145,False,0.8
20,16,Pidgey,Normal,40,45,40,56,False,0.2914285714285714
21,17,Pidgeotto,Normal,63,60,55,71,False,0.37714285714285717
22,18,Pidgeot,Normal,83,80,75,101,False,0.5485714285714286
23,18,PidgeotMega Pidgeot,Normal,83,80,80,121,False,0.6628571428571428
24,19,Rattata,Normal,30,56,35,72,False,0.38285714285714284
25,20,Raticate,Normal,55,81,60,97,False,0.5257142857142857
26,21,Spearow,Normal,40,60,30,70,False,0.37142857142857144
27,22,Fearow,Normal,65,90,65,100,False,0.5428571428571428
28,23,Ekans,Poison,35,60,44,55,False,0.2857142857142857
29,24,Arbok,Poison,60,85,69,80,False,0.42857142857142855
30,25,Pikachu,Electric,35,55,40,90,False,0.4857142857142857
31,26,Raichu,Electric,60,90,55,110,False,0.6
32,27,Sandshrew,Ground,50,75,85,40,False,0.2
33,28,Sandslash,Ground,75,100,110,65,False,0.34285714285714286
34,29,Nidoran♀,Poison,55,47,52,41,False,0.2057142857142857
35,30,Nidorina,Poison,70,62,67,56,False,0.2914285714285714
36,31,Nidoqueen,Poison,90,92,87,76,False,0.4057142857142857
37,32,Nidoran♂,Poison,46,57,40,50,False,0.2571428571428571
38,33,Nidorino,Poison,61,72,57,65,False,0.34285714285714286
39,34,Nidoking,Poison,81,102,77,85,False,0.45714285714285713
40,35,Clefairy,Fairy,70,45,48,35,False,0.17142857142857143
41,36,Clefable,Fairy,95,70,73,60,False,0.3142857142857143
42,37,Vulpix,Fire,38,41,40,65,False,0.34285714285714286
43,38,Ninetales,Fire,73,76,75,100,False,0.5428571428571428
44,39,Jigglypuff,Normal,115,45,20,20,False,0.08571428571428572
45,40,Wigglytuff,Normal,140,70,45,45,False,0.22857142857142856
46,41,Zubat,Poison,40,45,35,55,False,0.2857142857142857
47,42,Golbat,Poison,75,80,70,90,False,0.4857142857142857
48,43,Oddish,Grass,45,50,55,30,False,0.14285714285714285
49,44,Gloom,Grass,60,65,70,40,False,0.2
50,45,Vileplume,Grass,75,80,85,50,False,0.2571428571428571
51,46,Paras,Bug,35,70,55,25,False,0.11428571428571428
52,47,Parasect,Bug,60,95,80,30,False,0.14285714285714285
53,48,Venonat,Bug,60,55,50,45,False,0.22857142857142856
54,49,Venomoth,Bug,70,65,60,90,False,0.4857142857142857
55,50,Diglett,Ground,10,55,25,95,False,0.5142857142857142
56,51,Dugtrio,Ground,35,80,50,120,False,0.6571428571428571
57,52,Meowth,Normal,40,45,35,90,False,0.4857142857142857
58,53,Persian,Normal,65,70,60,115,False,0.6285714285714286
59,54,Psyduck,Water,50,52,48,55,False,0.2857142857142857
60,55,Golduck,Water,80,82,78,85,False,0.45714285714285713
61,56,Mankey,Fighting,40,80,35,70,False,0.37142857142857144
62,57,Primeape,Fighting,65,105,60,95,False,0.5142857142857142
63,58,Growlithe,Fire,55,70,45,60,False,0.3142857142857143
64,59,Arcanine,Fire,90,110,80,95,False,0.5142857142857142
65,60,Poliwag,Water,40,50,40,90,False,0.4857142857142857
66,61,Poliwhirl,Water,65,65,65,90,False,0.4857142857142857
67,62,Poliwrath,Water,90,95,95,70,False,0.37142857142857144
68,63,Abra,Psychic,25,20,15,90,False,0.4857142857142857
69,64,Kadabra,Psychic,40,35,30,105,False,0.5714285714285714
70,65,Alakazam,Psychic,55,50,45,120,False,0.6571428571428571
71,65,AlakazamMega Alakazam,Psychic,55,50,65,150,False,0.8285714285714286
72,66,Machop,Fighting,70,80,50,35,False,0.17142857142857143
73,67,Machoke,Fighting,80,100,70,45,False,0.22857142857142856
74,68,Machamp,Fighting,90,130,80,55,False,0.2857142857142857
75,69,Bellsprout,Grass,50,75,35,40,False,0.2
76,70,Weepinbell,Grass,65,90,50,55,False,0.2857142857142857
77,71,Victreebel,Grass,80,105,65,70,False,0.37142857142857144
78,72,Tentacool,Water,40,40,35,70,False,0.37142857142857144
79,73,Tentacruel,Water,80,70,65,100,False,0.5428571428571428
80,74,Geodude,Rock,40,80,100,20,False,0.08571428571428572
81,75,Graveler,Rock,55,95,115,35,False,0.17142857142857143
82,76,Golem,Rock,80,120,130,45,False,0.22857142857142856
83,77,Ponyta,Fire,50,85,55,90,False,0.4857142857142857
84,78,Rapidash,Fire,65,100,70,105,False,0.5714285714285714
85,79,Slowpoke,Water,90,65,65,15,False,0.05714285714285714
86,80,Slowbro,Water,95,75,110,30,False,0.14285714285714285
87,80,SlowbroMega Slowbro,Water,95,75,180,30,False,0.14285714285714285
88,81,Magnemite,Electric,25,35,70,45,False,0.22857142857142856
89,82,Magneton,Electric,50,60,95,70,False,0.37142857142857144
90,83,Farfetch'd,Normal,52,65,55,60,False,0.3142857142857143
91,84,Doduo,Normal,35,85,45,75,False,0.4
92,85,Dodrio,Normal,60,110,70,100,False,0.5428571428571428
93,86,Seel,Water,65,45,55,45,False,0.22857142857142856
94,87,Dewgong,Water,90,70,80,70,False,0.37142857142857144
95,88,Grimer,Poison,80,80,50,25,False,0.11428571428571428
96,89,Muk,Poison,105,105,75,50,False,0.2571428571428571
97,90,Shellder,Water,30,65,100,40,False,0.2
98,91,Cloyster,Water,50,95,180,70,False,0.37142857142857144
99,92,Gastly,Ghost,30,35,30,80,False,0.42857142857142855
100,93,Haunter,Ghost,45,50,45,95,False,0.5142857142857142
101,94,Gengar,Ghost,60,65,60,110,False,0.6
102,94,GengarMega Gengar,Ghost,60,65,80,130,False,0.7142857142857143
103,95,Onix,Rock,35,45,160,70,False,0.37142857142857144
104,96,Drowzee,Psychic,60,48,45,42,False,0.21142857142857144
105,97,Hypno,Psychic,85,73,70,67,False,0.35428571428571426
106,98,Krabby,Water,30,105,90,50,False,0.2571428571428571
107,99,Kingler,Water,55,130,115,75,False,0.4
108,100,Voltorb,Electric,40,30,50,100,False,0.5428571428571428
109,101,Electrode,Electric,60,50,70,140,False,0.7714285714285715
110,102,Exeggcute,Grass,60,40,80,40,False,0.2
111,103,Exeggutor,Grass,95,95,85,55,False,0.2857142857142857
112,104,Cubone,Ground,50,50,95,35,False,0.17142857142857143
113,105,Marowak,Ground,60,80,110,45,False,0.22857142857142856
114,106,Hitmonlee,Fighting,50,120,53,87,False,0.4685714285714286
115,107,Hitmonchan,Fighting,50,105,79,76,False,0.4057142857142857
116,108,Lickitung,Normal,90,55,75,30,False,0.14285714285714285
117,109,Koffing,Poison,40,65,95,35,False,0.17142857142857143
118,110,Weezing,Poison,65,90,120,60,False,0.3142857142857143
119,111,Rhyhorn,Ground,80,85,95,25,False,0.11428571428571428
120,112,Rhydon,Ground,105,130,120,40,False,0.2
121,113,Chansey,Normal,250,5,5,50,False,0.2571428571428571
122,114,Tangela,Grass,65,55,115,60,False,0.3142857142857143
123,115,Kangaskhan,Normal,105,95,80,90,False,0.4857142857142857
124,115,KangaskhanMega Kangaskhan,Normal,105,125,100,100,False,0.5428571428571428
125,116,Horsea,Water,30,40,70,60,False,0.3142857142857143
126,117,Seadra,Water,55,65,95,85,False,0.45714285714285713
127,118,Goldeen,Water,45,67,60,63,False,0.3314285714285714
128,119,Seaking,Water,80,92,65,68,False,0.36
129,120,Staryu,Water,30,45,55,85,False,0.45714285714285713
130,121,Starmie,Water,60,75,85,115,False,0.6285714285714286
131,122,Mr. Mime,Psychic,40,45,65,90,False,0.4857142857142857
132,123,Scyther,Bug,70,110,80,105,False,0.5714285714285714
133,124,Jynx,Ice,65,50,35,95,False,0.5142857142857142
134,125,Electabuzz,Electric,65,83,57,105,False,0.5714285714285714
135,126,Magmar,Fire,65,95,57,93,False,0.5028571428571429
136,127,Pinsir,Bug,65,125,100,85,False,0.45714285714285713
137,127,PinsirMega Pinsir,Bug,65,155,120,105,False,0.5714285714285714
138,128,Tauros,Normal,75,100,95,110,False,0.6
139,129,Magikarp,Water,20,10,55,80,False,0.42857142857142855
140,130,Gyarados,Water,95,125,79,81,False,0.4342857142857143
141,130,GyaradosMega Gyarados,Water,95,155,109,81,False,0.4342857142857143
142,131,Lapras,Water,130,85,80,60,False,0.3142857142857143
143,132,Ditto,Normal,48,48,48,48,False,0.24571428571428572
144,133,Eevee,Normal,55,55,50,55,False,0.2857142857142857
145,134,Vaporeon,Water,130,65,60,65,False,0.34285714285714286
146,135,Jolteon,Electric,65,65,60,130,False,0.7142857142857143
147,136,Flareon,Fire,65,130,60,65,False,0.34285714285714286
148,137,Porygon,Normal,65,60,70,40,False,0.2
149,138,Omanyte,Rock,35,40,100,35,False,0.17142857142857143
150,139,Omastar,Rock,70,60,125,55,False,0.2857142857142857
151,140,Kabuto,Rock,30,80,90,55,False,0.2857142857142857
152,141,Kabutops,Rock,60,115,105,80,False,0.42857142857142855
153,142,Aerodactyl,Rock,80,105,65,130,False,0.7142857142857143
154,142,AerodactylMega Aerodactyl,Rock,80,135,85,150,False,0.8285714285714286
